id,plan_name,network,mvno,mno,basic_data,daily_data,data_exhaustion,voice,message,additional_call,data_sharing,roaming_support,micro_payment,is_esim,signup_minor,signup_foreigner,has_usim,has_nfc_usim,tethering_gb,tethering_status,tethering_data_unit,esim_fee,esim_fee_status,usim_delivery_fee,nfc_usim_delivery_fee,usim_delivery_fee_status,nfc_usim_delivery_fee_status,fee,original_fee,discount_fee,discount_period,post_discount_fee,agreement,agreement_period,agreement_type,num_of_signup,mvno_rating,monthly_review_score,discount_percentage,is_5g,speed_when_exhausted,has_throttled_data,basic_data_unlimited,daily_data_unlimited,basic_data_clean,daily_data_clean,has_daily_allocation,total_data,has_unlimited_data,has_unlimited_speed,any_unlimited_data,unlimited_type,unlimited_type_numeric,throttle_speed_normalized,data_sharing_numeric,roaming_support_numeric,micro_payment_numeric,is_esim_numeric,signup_minor_numeric,signup_foreigner_numeric,voice_unlimited,voice_na,voice_clean,message_unlimited,message_na,message_clean,usim_supported,usim_is_free,nfc_usim_supported,nfc_usim_is_free,esim_supported,esim_is_free,price_per_gb,price_unlimited_adjusted,monthly_price,has_agreement
19922,[L]벤티(300분/7GB),LTE,아이즈모바일,LGU,7.0,2.0,없음,300,100,0.0,False,True,False,True,True,False,,,7.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,7500,18500,7500,24,18500,False,0.0,,1206,4.1,0.0,59.45945945945946,0,0.0,0,0,0,7.0,0.0,0,7.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,300,0,0,100,1,0,1,0,1,0,1071.4285714285713,18480.0,7500,0
27253,[K] DIGITAL DETOX 3GB 챌린지,LTE,핀다이렉트,KT,3.0,2.0,없음,30,30,0.0,False,True,False,True,False,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,6600,8800,PAID,PAID,80,6900,80,7,6900,False,0.0,,14932,4.2,9.9,98.84057971014492,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,1,0,0,0,0,30,0,0,30,1,0,1,0,1,0,26.666666666666668,18480.0,80,0
29404,[S] 300분5GB,LTE,mobing,SKT,5.0,2.0,없음,300,300,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,100,20000,100,7,20000,False,0.0,,0,4.3,0.0,99.5,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,300,0,0,300,1,0,1,0,1,0,20.0,18480.0,100,0
25274,USIM 심플 (100분+2.2GB),LTE,smartel,LGU,2.2,2.0,없음,100,100,0.0,False,True,False,False,True,True,,,2.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,550,4400,550,6,4400,False,0.0,,897,4.2,9.9,87.5,0,0.0,0,0,0,2.2,0.0,0,2.2,0,0,0,limited,0,0.0,0,1,0,0,1,1,0,0,100,0,0,100,1,0,1,0,0,0,249.99999999999997,18480.0,550,0
29361,A 갓성비 5GB/230분 9,LTE,amobile,LGU,5.0,2.0,없음,230,100,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,990,9350,990,9,9350,False,0.0,,0,4.2,0.0,89.41176470588235,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,230,0,0,100,1,1,0,0,0,0,198.0,18480.0,990,0
17965,티플 드림(3GB/200분),LTE,tplus,SKT,3.0,2.0,없음,200,200,0.0,False,True,False,True,True,False,,,3.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,100,7700,100,4,7700,False,0.0,,2989,4.2,4.1,98.7012987012987,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,200,0,0,200,1,0,1,0,1,0,33.333333333333336,18480.0,100,0
12274,내맘대로S(100+1GB),LTE,이야기모바일,SKT,1.0,2.0,없음,100,100,0.0,False,True,False,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,100,5500,100,4,5500,False,0.0,,10727,4.4,9.9,98.18181818181819,0,0.0,0,0,0,1.0,0.0,0,1.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,100,0,0,100,1,0,1,0,0,0,100.0,18480.0,100,0
29406,실속 100분3GB,LTE,mobing,LGU,3.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,100,13900,100,9,13900,False,0.0,,0,4.3,0.0,99.28057553956835,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,33.333333333333336,18480.0,100,0
29405,실속 100분4.5GB,LTE,mobing,LGU,4.5,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,100,14300,100,12,14300,False,0.0,,0,4.3,0.0,99.3006993006993,0,0.0,0,0,0,4.5,0.0,0,4.5,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,22.22222222222222,18480.0,100,0
21000,초알뜰 2GB/100분,LTE,ktmmobile,KT,2.0,2.0,없음,100,100,0.0,False,True,False,True,True,True,,,2.0,PROVIDED,GB,2750.0,PAID,6600,8800,PAID,PAID,4900,4900,4900,0,0,False,0.0,,51,4.0,0.0,0.0,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,0,1,1,1,0,0,100,0,0,100,1,0,1,0,1,0,2450.0,18480.0,4900,0
12282,내맘대로S(200+2GB),LTE,이야기모바일,SKT,2.0,2.0,없음,200,50,0.0,False,True,False,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,100,7700,100,4,7700,False,0.0,,696,4.4,9.9,98.7012987012987,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,200,0,0,50,1,0,1,0,0,0,50.0,18480.0,100,0
18989,[L] DIGITAL DETOX 3GB챌린지,LTE,핀다이렉트,LGU,3.0,0.0,없음,100,100,0.0,False,True,False,False,False,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,6600,8800,PAID,PAID,110,8800,110,7,8800,False,0.0,,182,4.2,9.9,98.75,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,100,0,0,100,1,0,1,0,1,0,36.666666666666664,18480.0,110,0
18731,심플100분2G,LTE,프리티,KT,2.0,2.0,없음,100,100,0.0,False,True,True,False,True,True,,,2.0,PROVIDED,GB,2750.0,UNSUPPORTED,5500,7700,PAID,PAID,110,5500,110,6,5500,False,0.0,,3165,4.3,0.0,98.0,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,0,0,100,0,0,100,1,0,1,0,0,0,55.0,18480.0,110,0
27147,[일반] 실속 (5GB/100분)_12개월,LTE,KG모바일,LGU,5.0,2.0,없음,100,100,0.0,False,True,True,False,False,False,,,5.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,110,9900,110,12,9900,False,0.0,,671,4.6,9.9,98.88888888888889,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,1,0,0,0,0,0,100,0,0,100,1,1,0,0,0,0,22.0,18480.0,110,0
28126,이지 무제한 15GB+1,LTE,이지모바일,LGU,15.0,2.0,1Mbps,9999,9999,300.0,False,True,True,False,True,True,,,15.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,7700,FREE_ON_ACTIVATION,PAID,11990,25850,11990,7,25850,False,0.0,,8348,4.3,9.9,53.61702127659574,0,1.0,1,0,0,15.0,0.0,0,15.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,1,1,1,0,3000,1,0,2000,1,1,1,0,0,0,1320.0,9592.0,11990,0
8402,내맘대로S(100+3GB),LTE,이야기모바일,SKT,3.0,2.0,없음,100,100,0.0,False,True,False,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,100,7700,100,4,7700,False,0.0,,797,4.4,9.9,98.7012987012987,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,100,0,0,100,1,0,1,0,0,0,33.333333333333336,18480.0,100,0
29407,모빙 200분/2GB,LTE,mobing,SKT,2.0,2.0,없음,200,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,100,11900,100,5,11900,False,0.0,,0,4.3,0.0,99.15966386554622,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,200,0,0,100,1,0,1,0,1,0,50.0,18480.0,100,0
29403,모빙(100분/3GB),LTE,mobing,SKT,3.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,100,12000,100,5,12000,False,0.0,,0,4.3,0.0,99.16666666666667,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,33.333333333333336,18480.0,100,0
24023,티플포유(5G/100분),LTE,tplus,LGU,5.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,5.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,110,8800,110,12,8800,False,0.0,,1249,4.2,4.1,98.75,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,22.0,18480.0,110,0
8162,내맘대로 차단형 (100분+0MB),LTE,이야기모바일,LGU,0.0,2.0,없음,100,50,0.0,False,True,True,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,4400,7700,PAID,PAID,4750,4750,4750,0,0,False,0.0,,23,4.4,9.9,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,limited,0,0.0,0,1,1,0,0,0,0,0,100,0,0,50,1,0,1,0,0,0,1320.0,18480.0,4750,0
18990,[S] DIGITAL DETOX 3GB 챌린지,LTE,핀다이렉트,SKT,3.0,0.0,없음,100,100,0.0,False,True,False,False,False,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,UNSUPPORTED,6600,8800,PAID,PAID,110,8800,110,7,8800,False,0.0,,4183,4.2,9.9,98.75,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,0,0,0,0,0,100,0,0,100,1,0,1,0,0,0,36.666666666666664,18480.0,110,0
29343,A 갓성비 5GB/230분 6,LTE,amobile,LGU,5.0,2.0,없음,230,100,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,110,9900,110,6,9900,False,0.0,,0,4.2,0.0,98.88888888888889,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,230,0,0,100,1,1,0,0,0,0,22.0,18480.0,110,0
23097,티플 5GB(5GB/300분),LTE,tplus,SKT,5.0,2.0,없음,300,100,0.0,False,True,False,True,True,False,,,5.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,110,11000,110,7,11000,False,0.0,,4208,4.2,4.1,99.0,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,300,0,0,100,1,0,1,0,1,0,22.0,18480.0,110,0
13852,[L]그란데(100분/6GB),LTE,아이즈모바일,LGU,6.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,6.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,140,15100,140,12,15100,False,0.0,,3556,4.1,0.0,99.0728476821192,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,23.333333333333332,18480.0,140,0
27369,보이스안심요금제(200분/5GB),LTE,아이즈모바일,SKT,5.0,2.0,없음,200,50,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,12000,12000,12000,0,0,False,0.0,,21,4.1,0.0,0.0,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,200,0,0,50,1,0,1,0,1,0,2400.0,18480.0,12000,0
27433,심플 200분2G,LTE,프리티,LGU,2.0,2.0,없음,200,50,0.0,False,True,True,False,True,True,,,2.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,110,6600,110,6,6600,False,0.0,,296,4.3,0.0,98.33333333333333,0,0.0,0,0,0,2.0,0.0,0,2.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,0,0,200,0,0,50,1,0,1,0,0,0,55.0,18480.0,110,0
29409,[K] 250분2.5GB,LTE,mobing,KT,2.5,2.0,없음,250,250,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,7700,PAID,PAID,110,13200,110,4,13200,False,0.0,,0,4.3,0.0,99.16666666666667,0,0.0,0,0,0,2.5,0.0,0,2.5,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,250,0,0,250,1,0,1,0,1,0,44.0,18480.0,110,0
29408,[K] 100분3GB,LTE,mobing,KT,3.0,2.0,없음,100,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,7700,PAID,PAID,110,14300,110,4,14300,False,0.0,,0,4.3,0.0,99.23076923076923,0,0.0,0,0,0,3.0,0.0,0,3.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,36.666666666666664,18480.0,110,0
11200,DATA 걱정없는 유심 1GB,LTE,헬로모바일,LGU,1.0,2.0,1Mbps,9999,9999,110.0,False,True,True,False,True,True,,,1.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,8800,UNSUPPORTED,PAID,7500,11550,7500,7,11550,False,0.0,,838,4.1,0.0,35.064935064935064,0,1.0,1,0,0,1.0,0.0,0,1.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,1,1,1,0,3000,1,0,2000,0,0,1,0,0,0,1320.0,6000.0,7500,0
10391,5G 유심 통화 맘편히 6GB,5G,헬로모바일,LGU,6.0,2.0,없음,9999,9999,300.0,False,True,True,False,True,True,,,6.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,8800,UNSUPPORTED,PAID,11950,11950,11950,0,0,False,0.0,,113,4.1,0.0,0.0,1,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,1,0,3000,1,0,2000,0,0,1,0,0,0,1991.6666666666667,18480.0,11950,0
26805,가성비플러스(6GB/350분),LTE,tplus,LGU,6.0,2.0,없음,350,100,0.0,False,True,False,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,110,9900,110,9,9900,False,0.0,,106390,4.2,4.1,98.88888888888889,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,350,0,0,100,1,0,1,0,1,0,18.333333333333332,18480.0,110,0
26797,가성비플러스(10GB/350분),LTE,tplus,SKT,10.0,2.0,없음,350,100,0.0,False,True,False,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,110,15400,110,7,15400,False,0.0,,27319,4.2,4.1,99.28571428571429,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,350,0,0,100,1,0,1,0,1,0,11.0,18480.0,110,0
24339,5G 티플 5GB(5GB/300분),5G,tplus,SKT,5.0,2.0,없음,300,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,300,11000,300,4,11000,False,0.0,,1882,4.2,4.1,97.27272727272727,1,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,300,0,0,100,1,0,1,0,1,0,60.0,18480.0,300,0
29410,실속 200분5GB,LTE,mobing,LGU,5.0,2.0,없음,200,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,300,15200,300,6,15200,False,0.0,,0,4.3,0.0,98.02631578947368,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,200,0,0,100,1,0,1,0,1,0,60.0,18480.0,300,0
29345,A 갓성비 6GB/300분 6,LTE,amobile,LGU,6.0,2.0,없음,300,100,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,330,11550,330,6,11550,False,0.0,,0,4.2,0.0,97.14285714285714,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,300,0,0,100,1,1,0,0,0,0,55.0,18480.0,330,0
27145,[일반] 실속 (5GB/300분)_12개월,LTE,KG모바일,LGU,5.0,2.0,없음,300,100,0.0,False,True,True,False,False,False,,,5.0,PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,330,12100,330,12,12100,False,0.0,,866,4.6,9.9,97.27272727272727,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,1,0,0,0,0,0,300,0,0,100,1,1,0,0,0,0,66.0,18480.0,330,0
29341,A 갓성비 1GB/100분,LTE,amobile,LGU,1.0,2.0,없음,100,50,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,550,3960,550,6,3960,False,0.0,,0,4.2,0.0,86.11111111111111,0,0.0,0,0,0,1.0,0.0,0,1.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,100,0,0,50,1,1,0,0,0,0,550.0,18480.0,550,0
29346,A 갓성비 7GB/100분 6,LTE,amobile,LGU,7.0,2.0,없음,100,100,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,770,10450,770,6,10450,False,0.0,,0,4.2,0.0,92.63157894736842,0,0.0,0,0,0,7.0,0.0,0,7.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,100,0,0,100,1,1,0,0,0,0,110.0,18480.0,770,0
25297,USIM 스마트 4.5GB+,LTE,smartel,LGU,4.5,2.0,1Mbps,9999,9999,300.0,False,True,False,False,True,True,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,7500,16500,7500,12,16500,False,0.0,,56,4.2,9.9,54.54545454545455,0,1.0,1,0,0,4.5,0.0,0,4.5,0,0,1,throttled_unlimited,2,0.1,0,1,0,0,1,1,1,0,3000,1,0,2000,1,0,1,0,0,0,1320.0,6000.0,7500,0
23364,쉐이크 LTE 15GB+_CU,LTE,쉐이크모바일,KT,15.0,2.0,1Mbps,9999,9999,300.0,False,True,True,True,False,False,,,15.0,PROVIDED,GB,2750.0,PAID,6600,0,PAID,UNSUPPORTED,18700,26400,18700,12,26400,False,0.0,,169,4.3,9.9,29.166666666666668,0,1.0,1,0,0,15.0,0.0,0,15.0,0,0,1,throttled_unlimited,2,0.1,0,1,1,1,0,0,1,0,3000,1,0,2000,1,0,0,0,1,0,1320.0,14960.0,18700,0
25285,USIM 심플 (200분 + 1.5GB),LTE,smartel,LGU,1.5,2.0,없음,200,100,0.0,False,True,False,False,True,True,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,550,4400,550,6,4400,False,0.0,,393,4.2,9.9,87.5,0,0.0,0,0,0,1.5,0.0,0,1.5,0,0,0,limited,0,0.0,0,1,0,0,1,1,0,0,200,0,0,100,1,0,1,0,0,0,366.6666666666667,18480.0,550,0
29058,[일반] 데이터 마음대로 (4.5GB+/200분)_12개월,LTE,KG모바일,LGU,4.5,2.0,1Mbps,200,0,0.0,False,True,True,False,False,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,660,17600,660,12,17600,False,0.0,,2495,4.6,9.9,96.25,0,1.0,1,0,0,4.5,0.0,0,4.5,0,0,1,throttled_unlimited,2,0.1,0,1,1,0,0,0,0,0,200,0,0,0,1,1,0,0,0,0,1320.0,528.0,660,0
25224,후후 심플 (200분 + 1.5GB),LTE,smartel,LGU,1.5,2.0,없음,200,100,0.0,False,True,False,False,True,True,,,1.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,880,4730,880,6,4730,False,0.0,,108,4.2,9.9,81.3953488372093,0,0.0,0,0,0,1.5,0.0,0,1.5,0,0,0,limited,0,0.0,0,1,0,0,1,1,0,0,200,0,0,100,1,0,1,0,0,0,586.6666666666666,18480.0,880,0
25225,후후 심플 (500분 + 1GB),LTE,smartel,LGU,1.0,2.0,없음,500,100,0.0,False,True,False,False,True,True,,,1.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,990,6930,990,6,6930,False,0.0,,362,4.2,9.9,85.71428571428571,0,0.0,0,0,0,1.0,0.0,0,1.0,0,0,0,limited,0,0.0,0,1,0,0,1,1,0,0,500,0,0,100,1,0,1,0,0,0,990.0,18480.0,990,0
27288,든든한 350분5G,LTE,프리티,LGU,5.0,2.0,없음,350,100,0.0,False,True,True,False,True,True,,,5.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,990,16500,990,12,16500,False,0.0,,177,4.3,0.0,94.0,0,0.0,0,0,0,5.0,0.0,0,5.0,0,0,0,limited,0,0.0,0,1,1,0,1,1,0,0,350,0,0,100,1,0,1,0,0,0,198.0,18480.0,990,0
26796,가성비플러스(6GB/350분),LTE,tplus,SKT,6.0,2.0,없음,350,100,0.0,False,True,False,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,550,9900,550,7,9900,False,0.0,,106390,4.2,4.1,94.44444444444444,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,350,0,0,100,1,0,1,0,1,0,91.66666666666667,18480.0,550,0
25212,후후 심플 (100분 + 2.2GB),LTE,smartel,LGU,2.2,2.0,없음,100,100,0.0,False,True,False,False,True,True,,,2.0,PROVIDED,GB,2750.0,UNSUPPORTED,2200,4400,PAID,PAID,880,4730,880,6,4730,False,0.0,,138,4.2,9.9,81.3953488372093,0,0.0,0,0,0,2.2,0.0,0,2.2,0,0,0,limited,0,0.0,0,1,0,0,1,1,0,0,100,0,0,100,1,0,1,0,0,0,399.99999999999994,18480.0,880,0
29342,A 갓성비 10GB/100분 6,LTE,amobile,LGU,10.0,2.0,없음,100,100,0.0,False,False,False,False,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,880,13200,880,6,13200,False,0.0,,0,4.2,0.0,93.33333333333333,0,0.0,0,0,0,10.0,0.0,0,10.0,0,0,0,limited,0,0.0,0,0,0,0,1,0,0,0,100,0,0,100,1,1,0,0,0,0,88.0,18480.0,880,0
29411,실속 200분5GB+,LTE,mobing,LGU,5.0,2.0,1Mbps,200,100,0.0,False,True,False,True,True,False,,,0.0,NOT_PROVIDED,GB,2750.0,PAID,2200,6600,PAID,PAID,900,15000,900,6,15000,False,0.0,,0,4.3,0.0,94.0,0,1.0,1,0,0,5.0,0.0,0,5.0,0,0,1,throttled_unlimited,2,0.1,0,1,0,1,1,0,0,0,200,0,0,100,1,0,1,0,1,0,1320.0,720.0,900,0
28958,[셀프] LTE 유심 (4GB/2000분),LTE,sk7mobile,SKT,4.0,2.0,없음,2000,2000,0.0,False,True,True,True,True,True,,,4.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,6600,8800,PAID,PAID,7590,7590,7590,0,0,False,0.0,,46,4.0,0.0,0.0,0,0.0,0,0,0,4.0,0.0,0,4.0,0,0,0,limited,0,0.0,0,1,1,1,1,1,0,0,2000,0,0,2000,1,0,1,0,1,0,1897.5,18480.0,7590,0
26838,가성비플러스(6GB/350분),LTE,tplus,KT,6.0,2.0,없음,350,100,0.0,False,True,True,True,True,False,,,0.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,PAID,5500,8800,PAID,PAID,550,9900,550,6,9900,False,0.0,,106390,4.2,4.1,94.44444444444444,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,1,1,1,0,0,0,350,0,0,100,1,0,1,0,1,0,91.66666666666667,18480.0,550,0
26888,[CHM] 음성 100분 6GB,LTE,찬스모바일,LGU,6.0,2.0,없음,100,100,0.0,False,False,True,False,True,True,,,0.0,NOT_PROVIDED,GB,2750.0,UNSUPPORTED,0,0,FREE_ON_ACTIVATION,UNSUPPORTED,880,7700,880,6,7700,True,93.0,day,259,4.6,4.4,88.57142857142857,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,0,1,0,1,1,0,0,100,0,0,100,1,1,0,0,0,0,146.66666666666666,18480.0,880,1
17287,티플 데이터마음껏5G(100분),LTE,tplus,LGU,5.0,2.0,1Mbps,100,100,0.0,False,True,False,True,True,False,,,5.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,880,11550,880,6,11550,False,0.0,,1113,4.2,4.1,92.38095238095238,0,1.0,1,0,0,5.0,0.0,0,5.0,0,0,1,throttled_unlimited,2,0.1,0,1,0,1,1,0,0,0,100,0,0,100,1,0,1,0,1,0,1320.0,704.0,880,0
29215,이마트24 6GB/300분,LTE,에스원안심모바일,LGU,6.0,2.0,없음,300,100,0.0,False,True,True,False,True,False,,,6.0,CONTACT_MOBILE_PLAN_OPERATOR,GB,2750.0,UNSUPPORTED,0,0,FREE,FREE,990,13200,990,6,13200,False,0.0,,7,5.0,0.0,92.5,0,0.0,0,0,0,6.0,0.0,0,6.0,0,0,0,limited,0,0.0,0,1,1,0,1,0,0,0,300,0,0,100,1,1,1,1,0,0,165.0,18480.0,990,0
14947,[L]벤티(200분/8GB),LTE,아이즈모바일,LGU,8.0,2.0,없음,200,100,0.0,False,True,False,True,True,False,,,8.0,PROVIDED,GB,2750.0,PAID,5500,8800,PAID,PAID,7500,19600,7500,24,19600,False,0.0,,52,4.1,0.0,61.734693877551024,0,0.0,0,0,0,8.0,0.0,0,8.0,0,0,0,limited,0,0.0,0,1,0,1,1,0,0,0,200,0,0,100,1,0,1,0,1,0,937.5,18480.0,7500,0
